organism,NCBI.reference.nr,host,host.disease,isolation.source,sample.type,free.living,disease.associated
Pseudomonas aeruginosa,NZ_CP060243.1,Homo sapiens,Urinary Tract Infetion,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP060242.1,Homo sapiens,Asymptomatic Bacteriuria,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP060240.1,Homo sapiens,Urinary Tract Infetion,urine,NA,host.associated,disease.associated
Pseudomonas putida,NZ_CP043576.1,NA,NA,biofilm reactor,bacterial isolate,unknown,unknown
Pseudomonas migulae,NZ_CP043571.1,NA,NA,biofilm reactor,bacterial isolate,unknown,unknown
Pseudomonas sp. R32,NZ_CP019396.1,Solanum tuberosum,NA,rhizosphere soil,whole organism,host.associated,unknown
Pseudomonas chlororaphis,NZ_CP019399.1,Solanum tuberosum,NA,rhizosphere soil,whole organism,host.associated,unknown
Pseudomonas alkylphenolica,NZ_CP046621.1,NA,NA,"Soil, Residential Rain Drainage Channel",NA,free.living,unknown
Pseudomonas aeruginosa,NZ_CP041945.1,Homo sapiens,sepsis,urine,NA,host.associated,disease.associated
Pseudomonas mendocina,NZ_CP011508.1,NA,NA,dioxin contaminated soil,whole organism,free.living,unknown
Pseudomonas syringae pv. actinidiae,NZ_CP024712.1,Actinidia chinensis,NA,NA,bacterial culture,host.associated,unknown
Pseudomonas mosselii,NZ_CP024159.1,NA,NA,plant root rhizosphere,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP017306.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas mendocina,NZ_CP023641.1,NA,NA,freshwater cyanobacteria,Cultured cells,free.living,unknown
Pseudomonas aeruginosa,NZ_CP022525.1,NA,NA,Open Ocean,culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP022526.1,NA,NA,Open Ocean,culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP019338.1,NA,NA,Halobiotic reed,tissue sample,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP022001.1,Homo sapiens,Comunity-adquired pneumonia,blood,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP022000.1,Homo sapiens,ventilator-associated pneumonia,bronchial washing,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP021999.1,Homo sapiens,ventilator-associated pneumonia,bronchial washing,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP022002.1,Homo sapiens,Chiari malformation,blood,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP021774.1,Homo sapiens,ventilator-associated pneumonia,bronchial washing,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP021775.1,Homo sapiens,ventilator-associated pneumonia,bronchial washing,NA,host.associated,disease.associated
Pseudomonas koreensis,NZ_CP015852.1,Rice,NA,NA,NA,host.associated,unknown
Pseudomonas sp. St29,NZ_AP014628.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas protegens Cab57,NZ_AP014522.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fluorescens SBW25,NC_012660.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa LESB58,NC_011770.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. NIBR-H-19,NZ_CP089304.1,Ligia exotica,NA,Supralittoral and intertidal zones,bacteria,host.associated,unknown
Pseudomonas sp. NIBR-H-19,CP089304.1,Ligia exotica,NA,Supralittoral and intertidal zones,bacteria,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP020603.1,Homo sapiens,respiratory failure,sputum,NA,host.associated,disease.associated
Pseudomonas poae,NZ_CP063073.1,NA,NA,NA,monoisolate,unknown,unknown
Pseudomonas aeruginosa,NZ_CP063047.1,Tursiops truncatus (Bottlenose dolphin),NA,NA,NA,host.associated,unknown
Pseudomonas putida,NZ_AP022055.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas otitidis,NZ_AP022213.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas putida,NZ_AP022227.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas otitidis,NZ_AP022642.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas putida,NZ_AP022324.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. KUIN-1,NZ_AP020337.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas protegens CHA0,NZ_LS999205.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_LS998783.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas frederiksbergensis,NZ_CP018319.1,NA,NA,arsenic-contaminated soil,NA,free.living,unknown
Pseudomonas aeruginosa,CP089238.1,Homo sapiens,cholelithiasis,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP089236.1,Homo sapiens,pulmonary infection,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_LR134330.1,Homo sapiens,NA,urine,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LR134308.1,not available,NA,not available: to be reported later,NA,unknown,unknown
Pseudomonas fluorescens,NZ_LR134300.1,Homo sapiens,NA,respiratory tract,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LR134342.1,not available,NA,not available: to be reported later,NA,unknown,unknown
Pseudomonas chlororaphis,NZ_LR134334.1,not available,NA,not available: to be reported later,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_LR134309.1,not available,NA,Blood culture,NA,host.associated,unknown
Pseudomonas putida,NZ_LR134299.1,not available,NA,not available: to be reported later,NA,unknown,unknown
Pseudomonas mendocina,NZ_LR134290.1,environmental,NA,soil,NA,free.living,unknown
Pseudomonas fluorescens,NZ_LR134318.1,Homo sapiens,NA,not available: to be reported later,NA,host.associated,unknown
Pseudomonas syringae,NZ_LT985192.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas mucidolens,NZ_LS483433.1,not available,NA,not available: to be reported later,NA,unknown,unknown
Pseudomonas fluorescens,NZ_LS483372.1,NA,NA,Pre-filter water works,NA,free.living,unknown
Pseudomonas syringae pv. cerasicola,NZ_LT963391.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. syringae,NZ_LT962481.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae,NZ_LT963409.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae group genomosp. 3,NZ_LT963408.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. avii,NZ_LT963402.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas cerasi,NZ_LT963395.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. syringae,NZ_LT962480.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas putida,NZ_AP015029.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas furukawaii,NZ_AP014862.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa C-NN2,NZ_LT883143.1,Homo sapiens sapiens,NA,Cystic fibrosis lung,NA,host.associated,disease.associated
Pseudomonas viridiflava,NZ_LT855380.1,Prunus cerasus,NA,diseased cherry tree,NA,host.associated,disease.associated
Pseudomonas aeruginosa DK1,NZ_LN870292.1,Homo sapiens,NA,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_LT673656.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_LT608330.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas cerasi,NZ_LT222319.1,Prunus cerasus (sour cherry),NA,Sour cherry (Prunus cerasus) symptomatic leaf,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_AP014651.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_AP017302.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_AP014839.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas sp. Os17,NZ_AP014627.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. URMO17WK12:I11,NZ_LN854573.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_LN871187.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. CCOS 191,NZ_LN847264.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_AP014646.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_AP014622.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas putida NBRC 14164,NC_021505.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas resinovorans NBRC 106553,NC_021499.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP089065.1,Homo sapiens,NA,BAL,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP089064.1,Homo sapiens,NA,BAL,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP089068.1,Homo sapiens,NA,sputum,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP089062.1,Homo sapiens,NA,sputum,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP089067.1,Homo sapiens,NA,sputum,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP089061.1,Homo sapiens,NA,BAL,cell culture,host.associated,unknown
Pseudomonas aeruginosa NCGM2.S1,NC_017549.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas entomophila L48,NC_008027.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP089068.1,Homo sapiens,NA,sputum,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP089067.1,Homo sapiens,NA,sputum,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP089065.1,Homo sapiens,NA,BAL,cell culture,host.associated,unknown
Pseudomonas sp. S06B 330,NZ_CP088149.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. S06B 330,CP088149.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP065417.1,Homo sapiens,NA,NA,metagenomic assembly,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP065412.1,Homo sapiens,NA,NA,metagenomic assembly,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP014866.1,Homo sapiens,NA,NA,NA,unknown,unknown
Pseudomonas plecoglossicida,NZ_CP010359.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas taiwanensis,NZ_CP062699.1,wheat,NA,wheat root,cell culture,host.associated,unknown
Pseudomonas putida,NZ_CP017073.1,Homo sapiens,Urinary tract infection,urine,NA,host.associated,disease.associated
Pseudomonas fluorescens,NZ_CP017296.1,NA,NA,rhizosphere soil,pure culture,host.associated,unknown
Pseudomonas stutzeri,NZ_CP015641.1,NA,NA,East China Sea,marine sediment,free.living,unknown
Pseudomonas putida,NZ_CP011789.1,Pistacia chinensis Bunge,NA,seeds,single microbe,host.associated,unknown
Pseudomonas aeruginosa SG17M,NZ_CP080369.1,NA,NA,riverside,whole organism,free.living,unknown
Pseudomonas putida,NZ_CP014343.1,NA,NA,soil,whole organism,free.living,unknown
Pseudomonas sp. FIT81,NZ_CP075567.1,Iris germanica,NA,rhizomes,Whole organism,host.associated,unknown
Pseudomonas sp. FIT81,CP075567.1,Iris germanica,NA,rhizomes,Whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP039988.1,Homo sapiens,NA,adult male sputum,bacterial culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP039990.1,Homo sapiens,NA,adult male sputum,bacterial culture,host.associated,unknown
Pseudomonas putida S13.1.2,NZ_CP010979.1,NA,NA,rhizosphere soil,NA,host.associated,unknown
Pseudomonas putida S12,NZ_CP009974.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas monteilii SB3101,NC_023076.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas protegens CHA0,NC_021237.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa SG17M,CP080369.1,NA,NA,riverside,whole organism,free.living,unknown
Pseudomonas aeruginosa,NZ_CP087673.1,Homo sapiens,Fever,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP087675.1,Homo sapiens,Fever,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP087674.1,Homo sapiens,Fever,urine,NA,host.associated,disease.associated
Pseudomonas sp. MM213,NZ_CP081943.1,NA,NA,soil,Bacteria colony,free.living,unknown
Pseudomonas sp. MM211,NZ_CP081942.1,NA,NA,soil,Bacteria colony,free.living,unknown
Pseudomonas fulva,NZ_CP064943.1,Homo sapiens,NA,bile specimen of liver transplant patient,bile specimen,host.associated,unknown
Pseudomonas fulva,NZ_CP064946.1,Homo sapiens,NA,pleural fluid in respiratory ICU,pleural fluid,host.associated,unknown
Pseudomonas tohonis,NZ_AP023189.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas syringae pv. actinidiae ICMP 9853,NZ_CP018202.1,Actinidia,NA,NA,NA,host.associated,unknown
Pseudomonas syringae pv. actinidiae,NZ_CP017009.1,Actinidia chinensis,NA,Research orchard,single cell,host.associated,unknown
Pseudomonas aeruginosa,CP087675.1,Homo sapiens,Fever,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP087674.1,Homo sapiens,Fever,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP087673.1,Homo sapiens,Fever,urine,NA,host.associated,disease.associated
Pseudomonas sp. CIP-10,NZ_CP087160.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas savastanoi,NZ_CP076652.1,NA,NA,Actinidia chinensis,Single strain,host.associated,unknown
Pseudomonas sp. MRCP1333,AP025275.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas tohonis,AP023189.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP046069.1,NA,NA,methanogenic sludge from a potato processing plant,pure culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP046060.1,Homo sapiens,lung infection,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP046061.1,Homo sapiens,lung infection,sputum,NA,host.associated,disease.associated
Pseudomonas syringae CC1557,NZ_CP007014.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas savastanoi,CP076652.1,NA,NA,Actinidia chinensis,Single strain,host.associated,unknown
Pseudomonas sp. CIP-10,CP087160.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. KNUC1026,CP087138.1,Brassica napus,NA,seed epiphyte,single cell,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP086064.1,Homo sapiens,NA,Tracheal secretion,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP013477.1,NA,NA,murine model,cell culture,unknown,unknown
Pseudomonas aeruginosa,NZ_CP013479.1,Homo sapiens,NA,NA,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP013478.1,NA,NA,murine model,cell culture,unknown,unknown
Pseudomonas aeruginosa,NZ_CP017969.1,NA,NA,wastewater,NA,free.living,unknown
Pseudomonas aeruginosa,NZ_CP014999.1,Homo sapiens,NA,tracheal aspirate,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP015001.1,Homo sapiens,NA,urine,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP015002.1,Homo sapiens,NA,tracheal aspirate,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP015003.1,Homo sapiens,NA,bloodstream,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP017353.1,NA,NA,wastewater,cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP017149.1,NA,NA,Infected wound,cell culture,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP012578.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Early isolate from VAP patient 2,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP012580.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Late isolate from VAP patient 1,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP012584.1,Homo sapiens,46,Sputum; Late isolate from VAP patient 4,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP012582.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Late isolate from VAP patient 2,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP012579.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Early isolate from VAP patient 3,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP012581.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Early isolate from VAP patient 4,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP012585.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Early isolate from VAP patient 1,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP017099.1,NA,NA,soil,whole organism,free.living,unknown
Pseudomonas aeruginosa,NZ_CP012583.1,Homo sapiens,Ventilator associated pneumonia,Sputum; Late isolate from VAP patient 3,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP015377.1,Homo sapiens,NA,combat injury wound,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP015117.1,Homo sapiens,nosocomial infections,NA,NA,host.associated,disease.associated
Pseudomonas sp. MM213,CP081943.1,NA,NA,soil,Bacteria colony,free.living,unknown
Pseudomonas sp. MM211,CP081942.1,NA,NA,soil,Bacteria colony,free.living,unknown
Pseudomonas aeruginosa,NZ_CP014948.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fragi,NZ_CP064354.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas aeruginosa,CP086064.1,Homo sapiens,NA,Tracheal secretion,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP045768.1,NA,NA,arugula,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP041008.1,NIST Mixed Microbial RM strain,NA,ATCC Isolate,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP041013.1,ZymoBIOMICS Microbial Community Standard Strain,Not applicable,"Water bottle, Animal room",NA,unknown,unknown
Pseudomonas sp. MPC6,NZ_CP034783.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas oryziphila,NZ_CP034338.1,NA,NA,soil,Pure culture,unknown,unknown
Pseudomonas aeruginosa,NZ_CP012066.1,rice,NA,NA,Cell culture,host.associated,unknown
Pseudomonas fluorescens,CP081968.1,Dioscorea alata,NA,leaves from field plants,tissue sample,host.associated,unknown
Pseudomonas sp. HN8-3,NZ_CP086206.1,NA,NA,rhizosphere soil,Pure culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP058331.1,sugarcane,NA,NA,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP041773.1,Homo sapiens,obstructive jaundice,bile specimen,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP035739.1,Homo sapiens,conjunctiva infection,eye,NA,host.associated,disease.associated
Pseudomonas oryziphila,CP034338.1,NA,NA,soil,Pure culture,free.living,unknown
Pseudomonas syringae pv. actinidiae,NZ_CP019732.1,Actinidia deliciosa,NA,NA,cell culture,host.associated,unknown
Pseudomonas syringae pv. actinidiae,NZ_CP019730.1,Actinidia deliciosa,NA,NA,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP007399.1,Homo sapiens,cancer,pubic bone,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP011317.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP010555.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa LES431,NC_023066.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa PA1R,NC_022806.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa PA7,NC_009656.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa UCBPP-PA14,NC_008463.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP086016.1,Homo sapiens,burn injury,skin secretions,NA,host.associated,unknown
Pseudomonas sp. HN8-3,CP086206.1,NA,NA,rhizosphere soil,Pure culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP086010.1,Homo sapiens,burn injury,skin secretions,NA,host.associated,unknown
Pseudomonas aeruginosa,CP086016.1,Homo sapiens,burn injury,skin secretions,NA,host.associated,unknown
Pseudomonas aeruginosa,CP086010.1,Homo sapiens,burn injury,skin secretions,NA,host.associated,unknown
Pseudomonas sp. HN2,NZ_CP085885.1,NA,NA,rhizosphere soil,Pure culture,host.associated,unknown
Pseudomonas sp. HN2,CP085885.1,NA,NA,rhizosphere soil,Pure culture,host.associated,unknown
Pseudomonas sp. HN2-3,NZ_CP085704.1,NA,NA,rhizosphere soil,Pure culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP054473.1,Homo sapiens,Cystic fibrosis,lungs,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP054472.1,Homo sapiens,Cystic fibrosis,lungs,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP046602.1,Homo sapiens,HCAP - acute pneumonia,tracheal aspirate,NA,host.associated,disease.associated
Pseudomonas sp. BIOMIG1BAC,NZ_CP049045.1,NA,NA,sewage enriched with benzalkonium chloride,pure culture,free.living,unknown
Pseudomonas chlororaphis subsp. aurantiaca,NZ_CP045221.1,Cotton rhizosphere,NA,NA,cell colony,host.associated,unknown
Pseudomonas veronii,NZ_CP018420.1,Solanum tuberosum,NA,rhizosphere soil,whole organism,host.associated,unknown
Pseudomonas chlororaphis,NZ_CP011110.1,Persea americana,NA,avocado roots,NA,host.associated,unknown
Pseudomonas sp. UW4,NC_019670.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. HN2-3,CP085704.1,NA,NA,rhizosphere soil,Pure culture,host.associated,unknown
Pseudomonas fluorescens,NZ_CP063233.1,NA,NA,Kumarahou flower,Environmental,host.associated,unknown
Pseudomonas sp. IAC-BECa141,NZ_CP065410.1,Sugarcane,NA,NA,genome,host.associated,unknown
Pseudomonas syringae pv. actinidiae str. Shaanxi_M228,NZ_CP032631.1,Actinidia,NA,NA,NA,host.associated,unknown
Pseudomonas amygdali pv. lachrymans str. M301315,NZ_CP031225.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. actinidiae ICMP 18708,NZ_CP012179.1,Actinidia,NA,NA,NA,host.associated,unknown
Pseudomonas syringae UMAF0158,NZ_CP005970.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas simiae,NZ_CP010896.1,Solanum lycopersicum,NA,NA,NA,host.associated,unknown
Pseudomonas putida HB3267,NC_019905.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa DK2,NC_018080.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. tomato str. DC3000,NC_004578.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. IAC-BECa141,CP065410.1,Sugarcane,NA,NA,genome,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP065848.1,Homo sapiens,Chronic respiratory failure,tracheal aspirate,NA,host.associated,disease.associated
Pseudomonas brassicacearum,NZ_CP045701.2,NA,NA,lignocellulosic wastes,cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP032126.1,NA,NA,wound,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP034429.1,Homo sapiens,Pneumonia,bronchoalveolar lavage,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP033833.1,Homo sapiens,NA,UCC isolate,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP033835.1,Homo sapiens,NA,UCC isolate,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP033843.1,Homo sapiens,NA,UCC isolate,NA,host.associated,unknown
Pseudomonas protegens,NZ_CP022097.2,Environment,Not Applicable,"root surface of cotton, Charles Howell",NA,host.associated,unknown
